"Symbol";"Date";"Open";"High";"Low";"Close"
GC3-067;18.10.2010;1612,8;1617,4;1595,0;1612,2
GC3-067;19.10.2010;1612,4;1613,5;1570,2;1577,6
GC3-067;20.10.2010;1576,2;1589,9;1572,9;1588,4
GC3-067;21.10.2010;1587,0;1591,4;1560,0;1567,8
GC3-067;22.10.2010;1567,6;1570,6;1557,4;1569,7
GC3-067;25.10.2010;1571,1;1591,3;1571,1;1582,3
GC3-067;26.10.2010;1582,1;1585,6;1569,9;1582,2
GC3-067;27.10.2010;1582,2;1585,5;1560,4;1567,0
GC3-067;28.10.2010;1567,1;1588,0;1564,7;1586,4
GC3-067;29.10.2010;1586,3;1601,6;1577,0;1601,6
GC3-067;01.11.2010;1601,5;1608,2;1590,9;1593,1
GC3-067;02.11.2010;1593,4;1601,7;1592,0;1599,3
GC3-067;03.11.2010;1599,1;1606,6;1567,3;1590,6
GC3-067;04.11.2010;1590,8;1635,2;1588,5;1634,5
GC3-067;05.11.2010;1634,3;1640,5;1613,7;1635,7
GC3-067;08.11.2010;1638,8;1652,2;1628,4;1651,8
GC3-067;09.11.2010;1651,8;1666,1;1624,0;1634,6
GC3-067;10.11.2010;1634,7;1651,8;1625,2;1644,8
GC3-067;11.11.2010;1644,8;1659,4;1638,3;1650,1
GC3-067;12.11.2010;1650,1;1651,8;1601,1;1610,1
GC3-067;15.11.2010;1612,8;1618,4;1596,6;1601,8
GC3-067;16.11.2010;1601,6;1606,1;1570,8;1580,7
GC3-067;17.11.2010;1582,8;1586,4;1571,9;1576,8
GC3-067;18.11.2010;1577,8;1600,8;1575,8;1594,8
GC3-067;19.11.2010;1595,6;1604,7;1582,8;1595,4
GC3-067;22.11.2010;1598,8;1609,2;1589,7;1607,8
GC3-067;23.11.2010;1607,6;1624,7;1597,4;1617,6
GC3-067;24.11.2010;1618,9;1622,8;1610,5;1613,8
GC3-067;25.11.2010;1613,8;1616,7;1609,0;1616,2
GC3-067;26.11.2010;1616,2;1616,3;1591,9;1605,3
GC3-067;29.11.2010;1605,8;1611,1;1594,4;1608,6
GC3-067;30.11.2010;1608,5;1631,9;1604,6;1628,5
GC3-067;01.12.2010;1628,4;1639,0;1623,7;1628,2
GC3-067;02.12.2010;1628,3;1640,4;1624,5;1626,9
GC3-067;03.12.2010;1627,8;1657,7;1626,0;1656,7
GC3-067;06.12.2010;1655,8;1670,1;1650,5;1665,3
GC3-067;07.12.2010;1666,7;1673,2;1637,4;1642,5
GC3-067;08.12.2010;1642,0;1646,1;1612,8;1623,1
GC3-067;09.12.2010;1623,7;1636,3;1621,8;1629,0
GC3-067;10.12.2010;1629,0;1633,7;1613,4;1626,2
GC3-067;13.12.2010;1625,7;1640,9;1621,5;1635,9
GC3-067;14.12.2010;1635,9;1649,6;1633,1;1637,2
GC3-067;15.12.2010;1637,4;1638,7;1618,9;1620,8
GC3-067;16.12.2010;1619,6;1628,0;1602,3;1611,0
GC3-067;17.12.2010;1611,1;1620,5;1606,1;1616,8
GC3-067;20.12.2010;1617,7;1629,6;1617,3;1627,1
GC3-067;21.12.2010;1626,8;1633,7;1622,1;1626,8
GC3-067;22.12.2010;1627,0;1632,4;1624,2;1626,3
GC3-067;23.12.2010;1626,8;1629,7;1613,3;1619,8
GC3-067;27.12.2010;1619,6;1627,7;1613,4;1625,3
GC3-067;28.12.2010;1624,9;1648,2;1623,8;1647,8
GC3-067;29.12.2010;1647,6;1655,6;1642,2;1653,2
GC3-067;30.12.2010;1652,9;1656,1;1644,2;1645,1
GC3-067;31.12.2010;1645,7;1662,7;1645,3;1662,7
GC3-067;03.01.2011;1661,1;1665,1;1653,8;1656,0
GC3-067;04.01.2011;1655,5;1658,5;1615,7;1622,4
GC3-067;05.01.2011;1621,4;1625,9;1604,7;1619,2
GC3-067;06.01.2011;1617,1;1620,7;1605,0;1611,7
GC3-067;07.01.2011;1612,4;1619,7;1593,4;1610,4
GC3-067;10.01.2011;1610,5;1617,1;1605,7;1616,5
GC3-067;11.01.2011;1616,4;1627,5;1613,1;1621,6
GC3-067;12.01.2011;1621,8;1629,7;1617,0;1628,9
